Time(s),Cart Position(m),Cart Velocity(m/s),Hook Angle(deg),Hook Angle Rate(deg/s),Payload Angle(deg),Payload Angle Rate(deg/s),Force(N),Cart Acceleration(m/s^2),,
1.601,0,0,-0.143478,-1.089,-0.188271,-1.23189,0,0,3.38067,1.26775
1.61,0,0,-0.143325,-1.03384,-0.189753,-1.17163,0,0,2.31894,-0.927577
1.621,0,0,-0.142814,-0.983261,-0.190981,-1.12329,0,0,3.57929,5.11327
1.629,0,0,-0.141893,-0.925118,-0.19185,-1.07011,0,0,5.09911,5.09911
1.639,0,0,-0.140513,-0.861893,-0.192259,-1.0146,0,0,6.31268,6.94395
1.651,0,0,-0.138774,-0.800412,-0.19231,-0.958646,0,0,2.11292,2.11292
1.66,0,0,-0.136729,-0.728056,-0.192003,-0.890875,0,0,2.31894,3.24652
1.671,0,0,-0.134326,-0.660013,-0.191032,-0.828071,0,0,4.09062,9.71521
1.679,0,0,-0.131564,-0.584179,-0.189395,-0.755911,0,0,3.96597,7.36537
1.705,0,0,-0.128548,-0.517727,-0.187299,-0.687168,0,0,0.530789,0.884649
1.71,0,0,-0.125122,-0.451702,-0.184538,-0.617499,0,0,2.34114,3.61813
1.735,0,0,-0.121542,-0.376594,-0.181265,-0.536368,0,0,-0.454513,1.59079
1.74,0,0,-0.117554,-0.309318,-0.17743,-0.46307,0,0,2.95433,2.72708
1.749,0,0,-0.11331,-0.211313,-0.173135,-0.357822,0,0,2.08705,7.30467
1.759,0,0,-0.108964,-0.125971,-0.168431,-0.263581,0,0,-0.566567,3.96597
1.771,0,0,-0.104413,-0.0484567,-0.163369,-0.177485,0,0,2.53551,2.53551
1.78,0,0,-0.0998621,0.0131508,-0.158205,-0.108181,0,0,-1.85515,-1.39137
1.789,0,0,-0.0950557,0.0846843,-0.152784,-0.0270156,0,0,6.31268,5.05014
1.799,0,0,-0.0900958,0.154918,-0.14716,0.0515404,0,0,0.566567,1.6997
1.809,0,0,-0.0851359,0.221902,-0.141382,0.126279,0,0,-1.53398,1.02265
1.821,0,0,-0.0800738,0.303937,-0.135246,0.216333,0,0,1.69034,4.64843
1.83,0,0,-0.0748071,0.378741,-0.128701,0.300442,0,0,2.78273,4.1741
1.839,0,0,-0.0692848,0.459661,-0.121951,0.391832,0,0,3.78761,-3.43E-13
1.849,0,0,-0.0638647,0.537414,-0.114997,0.478636,0,0,-5.09911,2.26627
1.859,0,0,-0.0585469,0.610874,-0.107788,0.561967,0,0,-1.02265,3.06796
1.871,0,0,-0.053178,0.669522,-0.100169,0.632624,0,0,1.69034,4.64843
1.88,0,0,-0.0477579,0.728771,-0.0922945,0.708267,0,0,0.463789,0.927577
1.89,0,0,-0.042389,0.792147,-0.0842155,0.796339,0,0,-1.8938,1.8938
1.899,0,0,-0.0370201,0.850008,-0.0758298,0.883444,0,0,0.566567,4.53254
1.909,0,0,-0.0318045,0.901368,-0.0671884,0.969981,0,0,-3.06796,2.04531
1.921,0,0,-0.0266401,0.942584,-0.0582913,1.04846,0,0,0.422584,2.11292
1.93,0,0,-0.021578,0.982191,-0.0492408,1.13182,0,0,-1.39137,0.463789
1.939,0,0,-0.0164647,1.02549,-0.0401903,1.22698,0,0,2.52507,-1.8938
1.949,0,0,-0.0114537,1.06263,-0.0309353,1.31588,0,0,-2.83284,4.53254
1.965,0,0,-0.00664725,1.082,-0.0216291,1.38049,0,0,-1.81536,-0.605121
1.971,0,0,-0.00184078,1.10532,-0.0122718,1.45208,0,0,1.69034,0.422584
1.98,0,0,0.0029657,1.1429,-0.00286343,1.55464,0,0,3.08E-14,0.909026
1.989,0,0,0.0078233,1.16834,0.00628932,1.63395,0,0,1.26254,-6.94395
1.999,0,0,0.0126298,1.18718,0.0152375,1.69953,0,0,-1.6997,-1.6997
2.009,0,0,0.0172828,1.21174,0.0240835,1.76322,0,0,-2.55663,1.13E-13
2.021,0,0,0.0218337,1.22848,0.0326227,1.81477,0,0,-0.422584,-4.22584
2.03,0,0,0.0264356,1.24468,0.040855,1.86281,0,0,1.85515,-2.78273
2.039,0,0,0.0308841,1.26512,0.0487806,1.91614,0,0,-4.41887,-3.78761
2.049,0,0,0.0352304,1.25305,0.0565016,1.93377,0,0,-0.566567,-1.13313
2.059,0,0,0.0395767,1.25088,0.0641715,1.95688,0,0,1.02265,1.02265
2.071,0,0,0.043923,1.2498,0.0716369,1.97609,0,0,0,-2.95809
2.08,0,0,0.0483204,1.2481,0.0790511,1.99354,0,0,0.927577,0.927577
2.09,0,0,0.0526667,1.24293,0.0863631,2.00852,0,0,-1.6997,-1.6997
2.099,0,0,0.0569107,1.23701,0.0935728,2.02287,0,0,-1.6997,-1.13313
2.109,0,0,0.0612058,1.23274,0.100629,2.03715,0,0,2.26627,-2.26627
2.121,0,0,0.0656032,1.22778,0.107379,2.04335,0,0,1.26775,-3.80326
2.13,0,0,0.0700007,1.22153,0.113924,2.04424,0,0,-0.927577,-0.927577
2.14,0,0,0.0741424,1.2082,0.120264,2.03772,0,0,-5.66567,-2.26627
2.149,0,0,0.0782842,1.19573,0.1264,2.03126,0,0,2.83284,-2.26627
2.159,0,0,0.0824259,1.18757,0.132229,2.02354,0,0,0,-4.53254
2.171,0,0,0.0865165,1.17835,0.137751,2.00898,0,0,-0.845168,-2.53551
2.18,0,0,0.090556,1.16756,0.143069,1.98901,0,0,-0.463789,-0.927577
2.19,0,0,0.0943909,1.15183,0.14808,1.95917,0,0,-3.96597,-4.53254
2.199,0,0,0.0980725,1.1373,0.152784,1.92813,0,0,-1.13313,-3.3994
2.209,0,0,0.101754,1.12535,0.157233,1.89584,0,0,1.6997,-2.26627
2.221,0,0,0.105282,1.1135,0.161426,1.86097,0,0,-2.53551,-2.11292
2.23,0,0,0.108657,1.1001,0.165312,1.82064,0,0,-1.39137,-3.24652
2.24,0,0,0.111776,1.08113,0.168891,1.76849,0,0,-3.96597,-3.3994
2.265,0,0,0.114844,1.05119,0.17201,1.70346,0,0,0.500892,-2.00357
2.271,0,0,0.117912,1.03642,0.175027,1.65962,0,0,0.212831,1.06416
2.28,0,0,0.120724,1.0327,0.177686,1.61971,0,0,-9.09026,-10.9083
2.29,0,0,0.123281,1.00217,0.179936,1.53583,0,0,-2.83284,-5.09911
2.307,0,0,0.125633,0.972092,0.181726,1.46172,0,0,-0.84169,-2.80563
2.312,0,0,0.127883,0.946705,0.18326,1.39466,0,0,8.03E-13,-0.422584
2.321,0,0,0.129928,0.932583,0.184487,1.3364,0,0,-6.26115,-7.30467
2.33,0,0,0.131513,0.914032,0.185305,1.27946,0,0,-8.83775,-6.31268
2.34,0,0,0.13274,0.889047,0.185561,1.21713,0,0,-2.83284,-7.93194
2.349,0,0,0.133661,0.855716,0.185203,1.14121,0,0,-2.83284,-7.36537
2.359,0,0,0.134326,0.823691,0.184333,1.06639,0,0,-2.26627,-4.53254
2.371,0,0,0.134684,0.790896,0.183106,0.993659,0,0,-2.95809,-1.69034
2.38,0,0,0.134632,0.758375,0.18147,0.924306,0,0,-4.63789,-4.1741
2.391,0,0,0.134121,0.720229,0.179271,0.848495,0,0,-5.11327,-7.15858
2.399,0,0,0.133303,0.674927,0.176612,0.76139,0,0,-1.6997,-3.96597
2.409,0,0,0.13228,0.62815,0.173698,0.671076,0,0,-1.26254,-0.631268
2.421,0,0,0.1309,0.581148,0.17063,0.585655,0,0,-4.22584,-0.422584
2.43,0,0,0.129008,0.534107,0.167255,0.507772,0,0,-6.02925,-4.1741
2.441,0,0,0.126758,0.480636,0.163625,0.425752,0,0,-2.04531,-2.04531
2.45,0,0,0.124304,0.42304,0.159943,0.33884,0,0,-0.511327,1.53398
2.459,0,0,0.121594,0.362633,0.156159,0.249906,0,0,-3.78761,-1.8938
2.471,0,0,0.118526,0.302683,0.15212,0.166646,0,0,-4.1741,-3.71031
2.48,0,0,0.1151,0.244917,0.147927,0.0911495,0,0,-3.24652,-0.463789
2.491,0,0,0.111469,0.182609,0.143785,0.0138418,0,0,-0.511327,2.55663
2.499,0,0,0.107685,0.115329,0.139695,-0.0668044,0,0,-1.13313,0.566567
2.509,0,0,0.103646,0.0461153,0.135553,-0.146673,0,0,-4.41887,-1.8938
2.521,0,0,0.0992486,-0.0185264,0.131258,-0.218206,0,0,-3.80326,-2.11292
2.53,0,0,0.0946466,-0.0821619,0.12686,-0.285176,0,0,-0.463789,-0.463789
2.541,0,0,0.0899935,-0.148135,0.122565,-0.352891,0,0,1.02265,3.06796
2.55,0,0,0.0851359,-0.216007,0.11827,-0.420449,0,0,-3.57929,-1.02265
2.56,0,0,0.0800227,-0.277247,0.113873,-0.476224,0,0,-3.78761,-2.52507
2.571,0,0,0.0747049,-0.335648,0.109219,-0.528448,0,0,-1.39137,-3.71031
2.58,0,0,0.0692337,-0.411292,0.104464,-0.597177,0,0,-0.927577,0.463789
2.591,0,0,0.0636602,-0.480527,0.0993508,-0.659308,0,0,-0.511327,-6.13592
2.6,0,0,0.0579333,-0.542619,0.0938285,-0.716239,0,0,-2.04531,-4.60194
2.609,0,0,0.0519508,-0.614394,0.0880505,-0.781248,0,0,-4.41887,-1.26254
2.621,0,0,0.0459172,-0.687603,0.0820168,-0.84419,0,0,1.39137,-2.31894
2.63,0,0,0.040088,-0.750599,0.0752673,-0.904413,0,0,4.1741,-10.6671
2.641,0,0,0.0342589,-0.810048,0.0682621,-0.966629,0,0,-2.04531,2.04531
2.65,0,0,0.0283275,-0.867657,0.0613081,-1.0232,0,0,-2.04531,3.57929
2.659,0,0,0.0223961,-0.928957,0.0541495,-1.08173,0,0,1.26254,-5.68141
2.671,0,0,0.0166693,-0.978311,0.0464796,-1.13231,0,0,3.71031,-7.42062
2.68,0,0,0.0110958,-1.02311,0.0388097,-1.18174,0,0,0.927577,4.63789
2.691,0,0,0.0056246,-1.06538,0.0314466,-1.22699,0,0,0.511327,6.13592
2.7,0,0,0.000153398,-1.1039,0.0241858,-1.26463,0,0,-1.02265,-1.02265
2.709,0,0,-0.0051644,-1.14443,0.0169249,-1.30478,0,0,3.78761,-1.26254
2.721,0,0,-0.0103288,-1.17597,0.00971521,-1.339,0,0,1.39137,0.927577
2.729,0,0,-0.0152887,-1.20377,0.0026589,-1.37218,0,0,2.55663,2.55663
2.741,0,0,-0.0201974,-1.2261,-0.00449968,-1.40132,0,0,-1.02265,-3.57929
2.75,0,0,-0.025055,-1.24436,-0.011965,-1.42882,0,0,0.463789,-4.63789
2.759,0,0,-0.0298104,-1.26415,-0.019635,-1.4649,0,0,1.8938,-1.26254
2.771,0,0,-0.03431,-1.2769,-0.0274071,-1.49517,0,0,3.71031,-1.57E-14
2.779,0,0,-0.0387074,-1.28684,-0.0354861,-1.52845,0,0,-0.511327,-5.11327
2.791,0,0,-0.043156,-1.2934,-0.0440764,-1.5639,0,0,-2.04531,-7.15858
2.8,0,0,-0.0474511,-1.29504,-0.0529223,-1.59814,0,0,3.24652,-6.29E-14
2.809,0,0,-0.0514906,-1.29637,-0.0617683,-1.64245,0,0,4.41887,3.15634
2.821,0,0,-0.0553767,-1.29467,-0.0706142,-1.68051,0,0,0.463789,-3.78E-13
2.829,0,0,-0.0592117,-1.2901,-0.0796136,-1.72017,0,0,-0.511327,-3.06796
2.841,0,0,-0.0631489,-1.28354,-0.0888175,-1.76014,0,0,-2.55663,-2.55663
2.85,0,0,-0.0668304,-1.27385,-0.0979702,-1.79764,0,0,5.56546,2.78273
2.859,0,0,-0.0703586,-1.25984,-0.107021,-1.84139,0,0,0.631268,1.8938
2.871,0,0,-0.0738867,-1.24563,-0.115969,-1.87629,0,0,-1.39137,0.927577
2.879,0,0,-0.0773126,-1.23126,-0.124764,-1.9121,0,0,2.04531,2.04531
2.891,0,0,-0.0805851,-1.21252,-0.132996,-1.94073,0,0,2.04531,9.71521
2.9,0,0,-0.0837042,-1.19013,-0.140564,-1.95676,0,0,1.39137,6.95683
2.909,0,0,-0.0866699,-1.16314,-0.147927,-1.97115,0,0,1.8938,-3.15634
2.921,0,0,-0.0895333,-1.13782,-0.154881,-1.97984,0,0,0.463789,5.56546
2.929,0,0,-0.0923968,-1.11452,-0.160915,-1.9808,0,0,-1.02265,14.3172
2.941,0,0,-0.0950045,-1.08887,-0.166284,-1.96751,0,0,5.11327,4.09062
2.95,0,0,-0.0974589,-1.05934,-0.171295,-1.94881,0,0,0.463789,0.463789
2.959,0,0,-0.099811,-1.0261,-0.175845,-1.92656,0,0,0.631268,6.94395
2.971,0,0,-0.102112,-0.998266,-0.179783,-1.89945,0,0,1.26E-13,6.95683
2.979,0,0,-0.104311,-0.972448,-0.183464,-1.86828,0,0,1.53398,-1.02265
2.991,0,0,-0.106305,-0.943899,-0.186941,-1.83513,0,0,3.06796,1.53398
3.015,0,0,-0.108197,-0.907235,-0.190214,-1.79013,0,0,-8.57E-14,0.631268
